$N_{ch}$,$N_{ch}$ LOW,$N_{ch}$ HIGH,$P(N_{ch})$,error +,error -
0.0,-0.5,0.5,0.06309677,0.03679051,-0.03679051
1.0,0.5,1.5,0.03458646,0.00284007,-0.00284007
2.0,1.5,2.5,0.03170812,0.00169401,-0.00169401
3.0,2.5,3.5,0.03415754,0.00157874,-0.00157874
4.0,3.5,4.5,0.03797183,0.0022762,-0.0022762
5.0,4.5,5.5,0.04165617,0.00328976,-0.00328976
6.0,5.5,6.5,0.04422473,0.00338698,-0.00338698
7.0,6.5,7.5,0.04346761,0.00258826,-0.00258826
8.0,7.5,8.5,0.04065053,0.00258708,-0.00258708
9.0,8.5,9.5,0.03759504,0.00285975,-0.00285975
10.0,9.5,10.5,0.03431873,0.00249688,-0.00249688
11.0,10.5,11.5,0.03132102,0.00200263,-0.00200263
12.0,11.5,12.5,0.0290584,0.00173861,-0.00173861
13.0,12.5,13.5,0.02702072,0.00171791,-0.00171791
14.0,13.5,14.5,0.02524423,0.00165182,-0.00165182
15.0,14.5,15.5,0.02375043,0.00154008,-0.00154008
16.0,15.5,16.5,0.02238676,0.00140552,-0.00140552
17.0,16.5,17.5,0.02120956,0.00127529,-0.00127529
18.0,17.5,18.5,0.02019535,0.00129751,-0.00129751
19.0,18.5,19.5,0.01920482,0.00122502,-0.00122502
20.0,19.5,20.5,0.01826147,0.00114061,-0.00114061
21.0,20.5,21.5,0.01730626,0.00102165,-0.00102165
22.0,21.5,22.5,0.01634716,0.00091248,-0.00091248
23.0,22.5,23.5,0.01543184,0.00081253,-0.00081253
24.0,23.5,24.5,0.01455324,0.00074508,-0.00074508
25.0,24.5,25.5,0.01381139,0.00072823,-0.00072823
26.0,25.5,26.5,0.01309551,0.00071379,-0.00071379
27.0,26.5,27.5,0.0124244,0.00067911,-0.00067911
28.0,27.5,28.5,0.011804,0.00063301,-0.00063301
29.0,28.5,29.5,0.01124819,0.00060134,-0.00060134
30.0,29.5,30.5,0.01073417,0.00057606,-0.00057606
31.0,30.5,31.5,0.01024065,0.00054884,-0.00054884
32.0,31.5,32.5,0.00976149,0.00052311,-0.00052311
33.0,32.5,33.5,0.00929333,0.00050101,-0.00050101
34.0,33.5,34.5,0.00883538,0.00048317,-0.00048317
35.0,34.5,35.5,0.0083896,0.00046996,-0.00046996
36.0,35.5,36.5,0.0079707,0.00047267,-0.00047267
37.0,36.5,37.5,0.00756372,0.00047251,-0.00047251
38.0,37.5,38.5,0.00717002,0.00046759,-0.00046759
39.0,38.5,39.5,0.00679118,0.00045738,-0.00045738
40.0,39.5,40.5,0.0064285,0.00044241,-0.00044241
41.0,40.5,41.5,0.00608272,0.00042394,-0.00042394
42.0,41.5,42.5,0.00575398,0.00040354,-0.00040354
43.0,42.5,43.5,0.00544181,0.00038278,-0.00038278
44.0,43.5,44.5,0.00514534,0.00036299,-0.00036299
45.0,44.5,45.5,0.00486349,0.00034509,-0.00034509
46.0,45.5,46.5,0.00459515,0.00032954,-0.00032954
47.0,46.5,47.5,0.00433935,0.00031634,-0.00031634
48.0,47.5,48.5,0.00409528,0.00030517,-0.00030517
49.0,48.5,49.5,0.00386233,0.00029548,-0.00029548
50.0,49.5,50.5,0.00364006,0.00028667,-0.00028667
51.0,50.5,51.5,0.00342813,0.00027818,-0.00027818
52.0,51.5,52.5,0.00322625,0.00026959,-0.00026959
53.0,52.5,53.5,0.00303416,0.00026067,-0.00026067
54.0,53.5,54.5,0.00285158,0.00025133,-0.00025133
