$N_{ch}$,$N_{ch}$ LOW,$N_{ch}$ HIGH,$P(N_{ch})$,error +,error -
0.0,-0.5,0.5,0.08948783,0.03323172,-0.03323172
1.0,0.5,1.5,0.04699359,0.00294187,-0.00294187
2.0,1.5,2.5,0.05703706,0.00246744,-0.00246744
3.0,2.5,3.5,0.06201175,0.00394782,-0.00394782
4.0,3.5,4.5,0.06115335,0.00303014,-0.00303014
5.0,4.5,5.5,0.05728926,0.00462944,-0.00462944
6.0,5.5,6.5,0.0524905,0.00356606,-0.00356606
7.0,6.5,7.5,0.04785334,0.00323526,-0.00323526
8.0,7.5,8.5,0.04383388,0.00351248,-0.00351248
9.0,8.5,9.5,0.03952115,0.0028773,-0.0028773
10.0,9.5,10.5,0.0351549,0.00232461,-0.00232461
11.0,10.5,11.5,0.03133065,0.0018333,-0.0018333
12.0,11.5,12.5,0.02847087,0.0018482,-0.0018482
13.0,12.5,13.5,0.02650116,0.00189355,-0.00189355
14.0,13.5,14.5,0.02504137,0.0018158,-0.0018158
15.0,14.5,15.5,0.02360936,0.00159726,-0.00159726
16.0,15.5,16.5,0.02208092,0.00150286,-0.00150286
17.0,16.5,17.5,0.02015517,0.00140332,-0.00140332
18.0,17.5,18.5,0.01843638,0.00145599,-0.00145599
19.0,18.5,19.5,0.01699268,0.00121909,-0.00121909
20.0,19.5,20.5,0.01575464,0.00096227,-0.00096227
21.0,20.5,21.5,0.01480337,0.00088515,-0.00088515
22.0,21.5,22.5,0.01377917,0.00092387,-0.00092387
23.0,22.5,23.5,0.01281629,0.00088986,-0.00088986
24.0,23.5,24.5,0.01177104,0.00076738,-0.00076738
25.0,24.5,25.5,0.01084605,0.00063824,-0.00063824
26.0,25.5,26.5,0.01001017,0.00058086,-0.00058086
27.0,26.5,27.5,0.0093181,0.00052528,-0.00052528
28.0,27.5,28.5,0.00863139,0.00049381,-0.00049381
29.0,28.5,29.5,0.0079588,0.00051299,-0.00051299
30.0,29.5,30.5,0.00730168,0.00049855,-0.00049855
31.0,30.5,31.5,0.00670169,0.00045926,-0.00045926
32.0,31.5,32.5,0.00616635,0.00041803,-0.00041803
33.0,32.5,33.5,0.00566202,0.00037999,-0.00037999
34.0,33.5,34.5,0.0051837,0.00035593,-0.00035593
35.0,34.5,35.5,0.00474582,0.00033185,-0.00033185
36.0,35.5,36.5,0.00435354,0.00031685,-0.00031685
37.0,36.5,37.5,0.00398024,0.0003014,-0.0003014
38.0,37.5,38.5,0.00362615,0.00028278,-0.00028278
39.0,38.5,39.5,0.0032985,0.00026107,-0.00026107
40.0,39.5,40.5,0.0030023,0.00024359,-0.00024359
41.0,40.5,41.5,0.00273013,0.00022531,-0.00022531
