$N_{ch}$,$N_{ch}$ LOW,$N_{ch}$ HIGH,$P(N_{ch})$,error +,error -
42.0,41.5,42.5,0.00248063,0.00020716,-0.00020716
43.0,42.5,43.5,0.00225216,0.00018997,-0.00018997
44.0,43.5,44.5,0.00204272,0.00017441,-0.00017441
45.0,44.5,45.5,0.00185022,0.00016083,-0.00016083
46.0,45.5,46.5,0.00167462,0.00015073,-0.00015073
47.0,46.5,47.5,0.00151194,0.00014059,-0.00014059
48.0,47.5,48.5,0.00136181,0.00012992,-0.00012992
49.0,48.5,49.5,0.00122572,0.00012017,-0.00012017
50.0,49.5,50.5,0.00110234,0.00011055,-0.00011055
51.0,50.5,51.5,0.00099037,0.00010086,-0.00010086
52.0,51.5,52.5,0.00088885,9.149e-05,-9.149e-05
53.0,52.5,53.5,0.00079696,8.28e-05,-8.28e-05
54.0,53.5,54.5,0.00071394,7.498e-05,-7.498e-05
55.0,54.5,55.5,0.00063921,6.814e-05,-6.814e-05
56.0,55.5,56.5,0.00057231,6.242e-05,-6.242e-05
57.0,56.5,57.5,0.00051191,5.708e-05,-5.708e-05
58.0,57.5,58.5,0.00045738,5.206e-05,-5.206e-05
59.0,58.5,59.5,0.00040818,4.738e-05,-4.738e-05
60.0,59.5,60.5,0.00036398,4.315e-05,-4.315e-05
61.0,60.5,61.5,0.00032431,3.931e-05,-3.931e-05
62.0,61.5,62.5,0.00028855,3.563e-05,-3.563e-05
63.0,62.5,63.5,0.00025635,3.209e-05,-3.209e-05
64.0,63.5,64.5,0.00022759,2.891e-05,-2.891e-05
65.0,64.5,65.5,0.00020196,2.611e-05,-2.611e-05
66.0,65.5,66.5,0.00017905,2.356e-05,-2.356e-05
67.0,66.5,67.5,0.00015855,2.123e-05,-2.123e-05
68.0,67.5,68.5,0.00014022,1.912e-05,-1.912e-05
69.0,68.5,69.5,0.00012385,1.719e-05,-1.719e-05
70.0,69.5,70.5,0.00010924,1.544e-05,-1.544e-05
71.0,70.5,71.5,9.624e-05,1.385e-05,-1.385e-05
72.0,71.5,72.5,8.471e-05,1.24e-05,-1.24e-05
73.0,72.5,73.5,7.449e-05,1.108e-05,-1.108e-05
74.0,73.5,74.5,6.547e-05,9.9e-06,-9.9e-06
75.0,74.5,75.5,5.752e-05,8.83e-06,-8.83e-06
76.0,75.5,76.5,5.051e-05,7.87e-06,-7.87e-06
77.0,76.5,77.5,4.435e-05,7.01e-06,-7.01e-06
78.0,77.5,78.5,3.892e-05,6.24e-06,-6.24e-06
79.0,78.5,79.5,3.414e-05,5.55e-06,-5.55e-06
80.0,79.5,80.5,2.992e-05,4.93e-06,-4.93e-06
81.0,80.5,81.5,2.62e-05,4.39e-06,-4.39e-06
82.0,81.5,82.5,2.292e-05,3.9e-06,-3.9e-06
83.0,82.5,83.5,2.003e-05,3.46e-06,-3.46e-06
84.0,83.5,84.5,1.749e-05,3.07e-06,-3.07e-06
85.0,84.5,85.5,1.525e-05,2.73e-06,-2.73e-06
86.0,85.5,86.5,1.329e-05,2.42e-06,-2.42e-06
87.0,86.5,87.5,1.157e-05,2.14e-06,-2.14e-06
88.0,87.5,88.5,1.007e-05,1.89e-06,-1.89e-06
89.0,88.5,89.5,8.76e-06,1.66e-06,-1.66e-06
90.0,89.5,90.5,7.63e-06,1.46e-06,-1.46e-06
91.0,90.5,91.5,6.63e-06,1.29e-06,-1.29e-06
92.0,91.5,92.5,5.77e-06,1.13e-06,-1.13e-06
93.0,92.5,93.5,5.02e-06,9.9e-07,-9.9e-07
94.0,93.5,94.5,4.37e-06,8.7e-07,-8.7e-07
95.0,94.5,95.5,3.81e-06,7.6e-07,-7.6e-07
96.0,95.5,96.5,3.31e-06,6.7e-07,-6.7e-07
97.0,96.5,97.5,2.88e-06,5.9e-07,-5.9e-07
98.0,97.5,98.5,2.51e-06,5.2e-07,-5.2e-07
99.0,98.5,99.5,2.19e-06,4.6e-07,-4.6e-07
100.0,99.5,100.5,1.91e-06,4e-07,-4e-07
101.0,100.5,101.5,1.68e-06,3.6e-07,-3.6e-07
102.0,101.5,102.5,1.47e-06,3.1e-07,-3.1e-07
103.0,102.5,103.5,1.29e-06,2.8e-07,-2.8e-07
104.0,103.5,104.5,1.14e-06,2.4e-07,-2.4e-07
105.0,104.5,105.5,1e-06,2.1e-07,-2.1e-07
106.0,105.5,106.5,8.9e-07,1.9e-07,-1.9e-07
107.0,106.5,107.5,7.9e-07,1.6e-07,-1.6e-07
108.0,107.5,108.5,6.9e-07,1.5e-07,-1.5e-07
109.0,108.5,109.5,6e-07,1.4e-07,-1.4e-07
110.0,109.5,110.5,5.2e-07,1.4e-07,-1.4e-07
111.0,110.5,111.5,4.4e-07,1.4e-07,-1.4e-07
112.0,111.5,112.5,3.6e-07,1.5e-07,-1.5e-07
113.0,112.5,113.5,3e-07,1.7e-07,-1.7e-07
114.0,113.5,114.5,2.4e-07,2e-07,-2e-07
115.0,114.5,115.5,1.8e-07,2.3e-07,-2.3e-07

