# OSC1999A
# full_event_history
# EPOS      3.451  
# (208, 82)+(208, 82)  nncm  0.5020E+04         1
   719      0      1 0.175795E+02 0.315234E+01 
     1       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.886653E+01 -.457067E+01 0.299277E-03 0.000000E+00 
     2       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.144953E+02 -.336251E+01 0.209540E-03 0.000000E+00 
     3       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.125604E+02 -.284305E+01 0.833682E-03 0.000000E+00 
     4       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.657138E+01 -.574224E+00 0.126507E-03 0.000000E+00 
     5       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.465764E+01 0.247953E+01 -.811529E-03 0.000000E+00 
     6       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.530301E+01 0.533030E+00 -.658742E-03 0.000000E+00 
     7       1220      1 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.136045E+01 0.833311E+00 -.590445E-03 0.000000E+00 
     8       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.723499E+01 0.186998E+01 0.300525E-03 0.000000E+00 
     9       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.124054E+02 0.400255E+01 -.139563E-02 0.000000E+00 
    10       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.136511E+02 -.104018E+01 0.657849E-03 0.000000E+00 
    11       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.519675E+01 -.515524E+01 0.133390E-03 0.000000E+00 
    12       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.356132E+01 0.618293E+01 0.428424E-03 0.000000E+00 
    13       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.892921E+01 -.273564E+01 -.148950E-02 0.000000E+00 
    14       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.118375E+02 -.202036E+01 -.524339E-03 0.000000E+00 
    15       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.122387E+02 -.685335E+00 0.734728E-03 0.000000E+00 
    16       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.105310E+02 0.328351E+01 -.100004E-02 0.000000E+00 
    17       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.116187E+02 0.176835E+01 0.193565E-02 0.000000E+00 
    18       1220      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.939650E+00 -.416939E+01 0.277920E+01 0.112635E-02 0.000000E+00 
    19       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.507159E+01 -.361840E+01 0.666239E-03 0.000000E+00 
    20       1120      0 0.000000E+00 0.000000E+00 0.251000E+04 0.251000E+04 0.938270E+00 -.108215E+02 0.185782E+01 0.280529E-03 0.000000E+00 
